"","UNIT_NAME","UNIT_TYPE","PARKNAME","pPolyID","placekey","safegraph_place_id","parent_placekey","parent_safegraph_place_id","location_name","safegraph_brand_ids","brands","top_category","sub_category","naics_code","latitude","longitude"
"453","Mammoth Cave National Park","National Park","Mammoth Cave",4,"zzy-223@5py-2sd-st9","sg:199d910ca7fc4de5b10c6cba768be1a7","","","Good Spring Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,37.208844,-86.147203
"454","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"zzy-222@63v-bxx-cyv","sg:aeb478064c9a449db5c94b204208f13a","","","The Ledges Shelter House & Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,41.22415,-81.510511
"455","Olympic National Park","National Park","Olympic",36,"zzy-222@5ww-t7t-p5f","sg:06c091aa2efe4c7f8c593ebc5e28ed31","","","Log Cabin Resort","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,48.093868,-123.788581
"456","Rocky Mountain National Park","National Park","Rocky Mountain",48,"zzy-222@5q6-67k-2hq","sg:85091317f75c4dd294d76962fb862e2d","","","Glacier Creek Stables","","","Other Amusement and Recreation Industries","All Other Amusement and Recreation Industries",713990,40.323025,-105.604267
"457","Glacier National Park","National Park","Glacier",24,"zzy-222@3wy-prx-xwk","sg:27cd73aa2d4c436ea15cdd646064106e","","","Jammer Joe's Grill and Pizzeria","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,48.617715,-113.876456
"458","Saguaro National Park","National Park","Saguaro",49,"zzw-222@8ts-3hk-nbk","sg:db523e2d2b6d4ca2879c16727cf0cf2a","","","David Yetman Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,32.180781,-110.737833
"459","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-hcn-94v","sg:02abcce242764f909b4def2da0f07194","","","Hopkins Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.762833,-83.106013
"460","Sequoia National Park","National Park","Sequoia",3,"222-222@5z7-k2d-syv","sg:0a97cb0c72204e898aa981590c821248","222-223@5z7-k2d-syv","sg:a48d9ade64fe454cb25ffba8640c9fba","Big Trees Trail","","","Lawn and Garden Equipment and Supplies Stores","Nursery, Garden Center, and Farm Supply Stores",444220,36.564715,-118.77269
"461","Yellowstone National Park","National Park","Yellowstone",2,"zzy-226@5wg-k4r-yn5","sg:45ed68a2f7894f9db3671fea3c9dff47","","","Canyon Lodge Cafeteria","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,44.555041,-110.39575
"462","Grand Canyon National Park","National Park","Grand Canyon",30,"zzy-223@5yz-fx6-kmk","sg:fb8384df3b5b41ab90e5a067783ec7d2","zzy-224@5yz-fx6-kmk","sg:13a58a12d2cd442fbc9eb348c0055a01","Desert View Entrance Station","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,36.044086,-111.826189
"463","Great Basin National Park","National Park","Great Basin",5,"zzy-222@5z4-6wr-m6k","sg:3f750e5b7163436eab0a8a498001c946","","","Lehman Caves","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,39.008101,-114.218324
"464","Bryce Canyon National Park","National Park","Bryce Canyon",1,"zzy-222@5yy-82r-rtv","sg:92297d339f7c4266941159d4e74a29c3","","","Fairyland Loop Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,37.63566,-112.149159
"465","Gateway Arch National Park","National Park","Gateway Arch",9,"zzz-222@5pj-5gg-bx5","sg:30e5f8c108254e47bbe1b6c7579dbbdd","","","Jefferson National Expansion Memorial","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.625803,-90.184604
"466","Joshua Tree National Park","National Park","Joshua Tree",32,"zzw-224@5z5-9pf-fvf","sg:3aebda6ee462444a8659919f6872f42d","zzw-222@5z5-9pf-fvf","sg:d297d11cfb434f98b41d735b1ed06b9f","Desert Institute at Joshua Tree National Park","","","Individual and Family Services","Services for the Elderly and Persons with Disabilities",624120,34.128578,-116.03767
"467","Death Valley National Park","National Park","Death Valley",43,"zzy-223@5yv-5vb-cdv","sg:0794e87171f249f9ba785d32764d55ae","","","The Ranch Dining Room","","","Other Amusement and Recreation Industries","All Other Amusement and Recreation Industries",713990,36.606006,-117.146315
"468","Grand Canyon National Park","National Park","Grand Canyon",30,"zzy-222@5yz-g4k-5j9","sg:07cb789928494acba36df84d07a6039d","","","Bright Angel Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,36.101806,-112.096175
"469","Olympic National Park","National Park","Olympic",36,"zzw-222@5ww-t8m-bc5","sg:60fa3216821c405c83608c6938e88df5","","","Group Contact","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,48.069164,-123.8929
"470","Crater Lake National Park","National Park","Crater Lake",23,"zzw-222@5v9-6cf-djv","sg:38c5ae57bd0530399dad1abf815baa98","","","United States Postal Service (USPS)","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","Postal Service","Postal Service",491110,42.896928,-122.134362
"471","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rjk-y7q","sg:041877e2ce1b4a4db4270e5f81c22830","","","Yosemite Medical Clinic","","","Offices of Physicians","Offices of Physicians (except Mental Health Specialists)",621111,37.748637,-119.582777
"472","Everglades National Park","National Park","Everglades",33,"zzy-222@8dg-8pw-cnq","sg:763ea48858914f50ac306cfe691badd0","","","Shark Valley Tram Tours","","","Museums, Historical Sites, and Similar Institutions","Zoos and Botanical Gardens",712130,25.756702,-80.766263
"473","Arches National Park","National Park","Arches",29,"zzy-225@5qg-4zk-9vf","sg:9875631002f24f16bc3f887d9ffc0285","","","The Windows","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,38.616605,-109.619845
"474","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-fhf-wc5","sg:4e9422aa04fe43c9b51fad0742eb4b5f","","","Williams Ramsey Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.747658,-83.297109
"475","Lassen Volcanic National Park","National Park","Lassen Volcanic",13,"zzy-223@5v5-bhs-y9z","sg:ed93dff83d7b46069cd1e848bb8d92f1","","","Bumpass Hell Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,40.458172,-121.501062
"476","Shenandoah National Park","National Park","Shenandoah",38,"zzy-223@63r-rsx-b49","sg:a2c855711d8e4d6299c5d4e210abd602","","","Skyland","","","Traveler Accommodation","Casino Hotels",721120,38.592561,-78.380308
"477","Yellowstone National Park","National Park","Yellowstone",2,"zzy-222@5wf-jgc-6c5","sg:c0be5355f0db49a1a967351252ca99a3","","","Mammoth Hot Springs Terraces","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,44.98575,-110.713895
"478","Capitol Reef National Park","National Park","Capitol Reef",11,"zzy-223@5yy-q7x-jn5","sg:eff2aeba78794448b5442adc9cc6055a","","","Grand Wash Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.29139,-111.262018
"479","Yellowstone National Park","National Park","Yellowstone",2,"zzw-223@5wg-gzv-hkf","sg:2edf9923a62149659aea49507dbf96cc","zzw-224@5wg-gzv-hkf","sg:c58213a815b94f48a46339482744d7f5","Old Faithful Visitor Education Center","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,44.46207,-110.642433
"480","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-hcn-dn5","sg:4740550d976f4eb895a234f97583266c","","","William Ford Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.773967,-83.11257
"481","Yellowstone National Park","National Park","Yellowstone",2,"zzy-223@5wg-h6c-6rk","sg:8cc200c80cd94a9688c88dd03646b092","","","Yellowstone Park Service Stations","","","Gasoline Stations","Gasoline Stations with Convenience Stores",447110,44.460456,-110.828139
"482","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-hd9-8qf","sg:f90c7fc6d65f4ca6ac82a9443ed437ae","","","Campbell Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.756398,-83.209672
"483","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"zzw-222@63v-c82-zcq","sg:28ad07d28ba1424b99d2d110a8d92a20","","","Blossom Music Center","","","Promoters of Performing Arts, Sports, and Similar Events","Promoters of Performing Arts, Sports, and Similar Events with Facilities",711310,41.190282,-81.560507
"484","Grand Canyon National Park","National Park","Grand Canyon",30,"222-222@5yz-fth-3h5","sg:82cf8361161b42629c499fd6b04b1c07","","","Bright Angel Lounge","","","Drinking Places (Alcoholic Beverages)","Drinking Places (Alcoholic Beverages)",722410,36.056938,-112.140653
"485","Shenandoah National Park","National Park","Shenandoah",38,"222-223@63r-p6q-7kf","sg:2b4742cc1b494f90a430c3d16d13c16b","","","Ressie Jeffries Elem","","","Elementary and Secondary Schools","Elementary and Secondary Schools",611110,38.90784,-78.189851
"486","Yosemite National Park","National Park","Yosemite",15,"zzy-223@5z7-r5c-3kf","sg:57144bebe73f4000b4f87c5b05c73128","zzy-224@5z7-r5c-3kf","sg:804636d2a769457ca6ef881c45bd55d9","Glacier Point","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,37.673894,-119.637863
"487","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rjw-psq","sg:d1cb4f65cd6941bb841699266185a87e","","","Yosemite Conservation Heritage Center","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,37.739894,-119.579562
"488","Olympic National Park","National Park","Olympic",36,"zzz-222@5ww-sqq-zs5","sg:9b573d814a3a4630af235079e140f0ac","","","Kayostia Beach","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,48.038292,-124.682979
"489","Yosemite National Park","National Park","Yosemite",15,"zzy-225@5z7-rjk-nwk","sg:485415d88b274d38991545c77e668587","","","Mountain Room","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,37.743674,-119.599026
"490","Yosemite National Park","National Park","Yosemite",15,"222-222@5z7-rmr-zpv","sg:31d1e9a5e8e94bf184993c83f7206994","","","Bassett Memorial Library","","","Other Information Services","Libraries and Archives",519120,37.547195,-119.646186
"491","Rocky Mountain National Park","National Park","Rocky Mountain",48,"zzy-223@5q6-688-jy9","sg:ea839bba60744b80846bd02756393731","","","U S Bureau of Reclamation Estes Plant","","","Electric Power Generation, Transmission and Distribution","Fossil Fuel Electric Power Generation",221112,40.366172,-105.560826
"492","Acadia National Park","National Park","Acadia",39,"zzy-222@64v-dxf-7h5","sg:ea7eca589eb348b79d1214f364a4d65c","","","Beehive Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,44.333794,-68.188804
"493","Bryce Canyon National Park","National Park","Bryce Canyon",1,"zzy-223@5yy-82r-zxq","sg:8f3418c36df142ee94ef8bbf539454b3","","","Sunset Point","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,37.628362,-112.162955
"494","Death Valley National Park","National Park","Death Valley",43,"zzy-222@5yv-6b6-zj9","sg:002ce48c69824aa1bbc8c2fec9d6a6c5","","","Saline Valley Warm Springs","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,36.426788,-117.132458
"495","Yosemite National Park","National Park","Yosemite",15,"zzy-227@5z7-rjk-z75","sg:02dcfbd896274e19a8ae35c71ab06b0d","","","Amtrak","SG_BRAND_8600ba93ae70c64076266f8c3f3aec18","Amtrak","Rail Transportation","Line-Haul Railroads",482111,37.748621,-119.58731
"496","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"222-222@63v-cny-n5z","sg:1032e0df0b1841c699ce916ee0c05258","zzz-222@63v-cns-cnq","sg:3916d65e7fa4422d86cc2703ab9c4797","Brandywine Falls","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,41.276312,-81.540237
"497","Redwood National Park","National Park","Redwood",37,"zzy-222@5v8-p45-yvz","sg:c46ab7d85a3f45ab9cbffec4bea2aefb","","","Lady Bird Johnson Grove","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,41.303275,-124.01843
"498","Capitol Reef National Park","National Park","Capitol Reef",11,"zzy-222@5yy-qyc-4sq","sg:5f162c2fbe094afeb5f868a482083cb7","","","Golden Throne Trail","","","Other Amusement and Recreation Industries","All Other Amusement and Recreation Industries",713990,38.211461,-111.160566
"499","Mesa Verde National Park","National Park","Mesa Verde",47,"zzy-222@5qf-fj4-6zf","sg:cbb9f19a7d8f4a29bea062b66b7b504c","","","Mesa Verde National Park Fire Department","","","Justice, Public Order, and Safety Activities","Fire Protection",922160,37.331644,-108.415786
"500","Grand Teton National Park","National Park","Grand Teton",25,"zzy-222@5qp-xrm-45f","sg:e7677f3a511147a3bad31acb7076e70c","","","Solitude Float Trips","","","Consumer Goods Rental","Recreational Goods Rental",532284,43.653287,-110.718398
"501","Yellowstone National Park","National Park","Yellowstone",2,"zzy-222@5wf-jg9-qpv","sg:5f3de349b1f5428b81b9b21e6ce7721d","","","Little Peoples Learning Center","","","Child Day Care Services","Child Day Care Services",624410,44.970419,-110.693168
"502","Hot Springs National Park","National Park","Hot Springs",45,"22t-222@8f2-2v7-tjv","sg:992904cf161840e4b220481d01324b9d","22z-222@8f2-2v7-tjv","sg:3cd295e976134cdea741b8e238519641","Bathhouse Row Emporium","","","Book Stores and News Dealers","Book Stores",451211,34.512135,-93.053617
"503","Death Valley National Park","National Park","Death Valley",43,"zzy-223@5yv-4yd-75z","sg:b51cfdcda5544e5cacc52db4f11b18ae","","","Texas Spring Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,36.463151,-116.868782
"504","Glacier National Park","National Park","Glacier",24,"zzy-222@3wy-q29-8vz","sg:6d2be6153bc949e58aec885d9f92df94","","","Lake McDonald","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,48.527592,-113.994037
"505","Death Valley National Park","National Park","Death Valley",43,"zzy-222@5yv-69t-3nq","sg:f1a2c6bed36a4ec7acbd7907f331b5d2","","","The 19th Hole","","","Restaurants and Other Eating Places","Limited-Service Restaurants",722513,36.528139,-117.069226
"506","Grand Canyon National Park","National Park","Grand Canyon",30,"zzw-223@5yz-fth-3nq","sg:83094fe990b3461fb62ee14571df2386","zzw-222@5yz-fth-3nq","sg:935e10b948584949bc2a3d07ffad7e75","The Arizona Room","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,36.056735,-112.13936
"507","Bryce Canyon National Park","National Park","Bryce Canyon",1,"zzy-222@5yy-82s-4jv","sg:788b83ac7bcd4892b85dfb8bce1d5f27","","","Queen's Garden","","","Restaurants and Other Eating Places","Limited-Service Restaurants",722513,37.625856,-112.163119
"508","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-224@8g9-fkg-yd9","sg:fd35cec017a73762b2387611361c603b","","","Frazier Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.746503,-83.37543
"509","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rjk-wzf","sg:5389d4b78be045b5832f117bbcf668b5","","","Yosemite Village Garage","","","Automotive Repair and Maintenance","General Automotive Repair",811111,37.746395,-119.583216
"510","Isle Royale National Park","National Park","Isle Royale",41,"zzy-222@5sk-mxq-35z","sg:0b92b8006dcc4332a774370412e9eaaa","222-222@5sk-mxq-35z","sg:c8b6446f0185439ca22e4c938af1c599","National Park Concessions","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,47.122938,-88.563711
"511","Carlsbad Caverns National Park","National Park","Carlsbad Caverns",20,"zzy-222@8tk-g4b-jqf","sg:aa17ec527b944973b948f08f2cb2d3ea","","","Carlsbad Caverns National Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,32.176979,-104.448397
"512","Grand Canyon National Park","National Park","Grand Canyon",30,"224-224@5yz-fth-qfz","sg:ccfe5ec0540549a7a828cac71851c8ec","224-222@5yz-fth-qfz","sg:56cd9e1113d241ecab61b9c8588142cb","Maswik Pizza Pub","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,36.053485,-112.144332
"513","Theodore Roosevelt National Park","National Park","Theodore Roosevelt",22,"222-222@5t4-sxs-cbk","sg:9583dd90bee1451c840f355cf2fba3d4","","","Theodore Roosevelt National Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,47.59998,-103.260096
"514","Hot Springs National Park","National Park","Hot Springs",45,"zzy-222@8f2-2v7-59f","sg:5d0c74defcab44e8ab3668973b783345","zzz-222@8f2-32t-djv","sg:1ad959f392d94b2b98de6c3cb1daee6c","Hot Springs Mountain Tower","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,34.518986,-93.045488
"515","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-hdk-6rk","sg:1a4e012a34224d699ad49c422e868b09","","","Walnut Bottoms Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.720168,-83.165234
"516","Everglades National Park","National Park","Everglades",33,"222-222@8dg-8kv-vzz","sg:6e2445ef16ea4d199cc52d045a46f8b4","","","Everglades National Park East Everglades Station","","","Justice, Public Order, and Safety Activities","Fire Protection",922160,25.607874,-80.577136
"517","Mammoth Cave National Park","National Park","Mammoth Cave",4,"zzy-222@5py-448-qpv","sg:26035c15862b4c5fa9a5531ca4a9b302","","","Little Hope Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,37.153541,-86.056557
"518","Shenandoah National Park","National Park","Shenandoah",38,"zzy-222@63g-dg6-4qf","sg:e260d39f40f7458ba00ed60886f3d1f8","","","McCormick Gap Overlook","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.061855,-78.821659
"519","Yosemite National Park","National Park","Yosemite",15,"zzy-224@5z7-rjk-nwk","sg:4868995864994f4ab85130293d3c2d18","","","Starbucks","SG_BRAND_f116acfe9147494063e58da666d1d57e","Starbucks","Restaurants and Other Eating Places","Snack and Nonalcoholic Beverage Bars",722515,37.743292,-119.598847
"520","Everglades National Park","National Park","Everglades",33,"zzy-222@8fx-653-ct9","sg:b8111fad4fc148839b4974f217abf658","zzw-222@8fx-653-ct9","sg:df4b76456d744d519a08089444caee13","Anhinga Trail","","","Other Amusement and Recreation Industries","All Other Amusement and Recreation Industries",713990,25.382386,-80.606454
"521","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"225-222@63v-cns-33q","sg:e0fae4b714ed4315afeb0cee4ab87e48","","","Trail Mix","","","Grocery Stores","Convenience Stores",445120,41.2636,-81.559187
"522","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"zzy-222@63v-c7f-vzz","sg:010afe9256444ce590bd24b1b1076000","","","Everett Covered Bridge","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,41.204378,-81.581058
"523","Death Valley National Park","National Park","Death Valley",43,"zzy-222@5yv-4yd-6kz","sg:bca89bfaf18047deb72e49636ba1b511","zzy-223@5yv-4yd-6kz","sg:08c301cab21c47408d7b95f72e6b76f1","Furnace Creek Visitor Center","","","Travel Arrangement and Reservation Services","Travel Agencies",561510,36.461768,-116.866632
"524","Mount Rainier National Park","National Park","Mount Rainier",14,"zzy-222@5x3-wg7-9vf","sg:f099ea84f0434a39a96b41f4e9629b12","","","Pinnacle Peak","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,46.768178,-121.731144
"525","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"222-222@63v-bd4-6hq","sg:71e56c335fae4fabba78fd2a7a717caa","zzz-222@63v-cns-cnq","sg:3916d65e7fa4422d86cc2703ab9c4797","Cuyahoga Valley Scenic Railroad","","","Rail Transportation","Line-Haul Railroads",482111,41.392679,-81.630862
"526","Hot Springs National Park","National Park","Hot Springs",45,"223-223@8f2-2v7-qxq","sg:8af914be46644ea1a0f0df9e9d45f630","223-222@8f2-2v7-qxq","sg:4610cf296cd24050b8df590cb2dc9045","Eden","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,34.51454,-93.053418
"527","Olympic National Park","National Park","Olympic",36,"zzy-223@5ww-t4f-4qf","sg:06f37ccd2b324faeb0e17e4cd65b20d3","","","Olympic Hot Springs","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,48.041108,-123.589998
"528","Grand Teton National Park","National Park","Grand Teton",25,"222-224@5qp-xs7-f9f","sg:6496599fb5c445879348b7b98edfb923","","","Snake River Angler","","","Consumer Goods Rental","Recreational Goods Rental",532284,43.656439,-110.710713
"529","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-h9c-t9z","sg:6b44781c77624ae486d60b92e91a1649","","","Lawson Jenkins Kerr Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.668405,-83.074773
"530","Saguaro National Park","National Park","Saguaro",49,"222-222@8ts-3hk-nt9","sg:2e815b798e7c3909b40a53842e4266fd","","","Saguaro National Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,32.180206,-110.736278
"531","Yosemite National Park","National Park","Yosemite",15,"zzy-223@5yx-hnz-nbk","sg:7c1f7f0b1c3046f0b49ec603eb4fa5a4","","","Tuolumne Meadows Campground Yosemite","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,37.877383,-119.33293
"532","Yellowstone National Park","National Park","Yellowstone",2,"zzy-222@5wg-ky9-skf","sg:8e94febbcd2a4add9cda6298971bde88","","","Canyon Lodge","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,44.732556,-110.486173
"533","Yellowstone National Park","National Park","Yellowstone",2,"zzy-222@5wg-mf7-pjv","sg:69d81670da584bf2aa3c4c348bfbba46","","","Uncle Tom's Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,44.722601,-110.483945
"534","Grand Canyon National Park","National Park","Grand Canyon",30,"zzy-222@5yz-ftg-sdv","sg:3d617962cbf14e49a45f8c53368d15e0","","","Grand Canyon Community Library","","","Other Information Services","Libraries and Archives",519120,36.055717,-112.13415
"535","Shenandoah National Park","National Park","Shenandoah",38,"222-222@63r-p6p-snq","sg:eca2e68669094e0bbb8df7f0ab348ffa","","","Samuels Public Library","","","Other Information Services","Libraries and Archives",519120,38.906515,-78.188289
"536","Acadia National Park","National Park","Acadia",39,"zzz-222@64v-dxk-5pv","sg:4d3793d07f2d419f8cfa5720d7e60379","","","Hunters Beach","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,44.298317,-68.211826
"537","Redwood National Park","National Park","Redwood",37,"zzy-222@5v8-pqr-tqf","sg:33c8a7eecb2f4a3d82425cd8aec5afcf","zzz-222@5v8-pqr-tqf","sg:77d48fc3f3524851ba9a63edfacf33bd","California State Of Smith River Inspection Station","","","Agencies, Brokerages, and Other Insurance Related Activities","Insurance Agencies and Brokerages",524210,41.795519,-124.10466
"538","Death Valley National Park","National Park","Death Valley",43,"zzy-222@5yv-5h6-ht9","sg:8073886baea541159726714e94229c5b","","","Dayton Harris Grave Monument","","","Death Care Services","Cemeteries and Crematories",812220,36.20729,-116.870435
"539","Biscayne National Park","National Park","Biscayne",7,"222-222@8fw-5xs-yjv","sg:2b5de5f8d0014899b17fcc62aeecf3cf","","","Biscayne National Park Institute","","","Sporting Goods, Hobby, and Musical Instrument Stores","Sporting Goods Stores",451110,25.46443,-80.334723
"540","Hot Springs National Park","National Park","Hot Springs",45,"zzz-222@8f2-32t-djv","sg:1ad959f392d94b2b98de6c3cb1daee6c","","","Hot Springs National Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,34.514493,-93.098315
"541","Bryce Canyon National Park","National Park","Bryce Canyon",1,"zzy-222@5yy-82r-zxq","sg:ff95086a34e9493d8206dad731f05ab4","","","Black Birch Canyon","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,37.62834,-112.162954
"542","Yellowstone National Park","National Park","Yellowstone",2,"zzy-222@5wg-jqb-mhq","sg:688f08da79ad4924bce52449412179bd","","","Old Faithful","","","Specialty Food Stores","Meat Markets",445210,44.654042,-110.77091
"543","Capitol Reef National Park","National Park","Capitol Reef",11,"zzy-222@5yy-q7z-syv","sg:3d225ec77311428c892c14f36df52d6c","","","Goosenecks Overlook","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.296984,-111.294333
"544","Lassen Volcanic National Park","National Park","Lassen Volcanic",13,"zzy-222@5v5-bgc-nnq","sg:767e99ab277e4430be98f16c34be1820","","","Summit Lake North Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,40.494558,-121.423588
"545","Grand Canyon National Park","National Park","Grand Canyon",30,"zzy-222@5yz-fsr-kcq","sg:519274f27bfa4648817beea51fdcc91f","","","The Rim Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,36.062574,-112.183127
"546","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-g3p-rc5","sg:0cbbf13c5f5246e780a447f5679045a3","","","Hammer Branch Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.545814,-83.301236
"547","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5yx-fnt-h5z","sg:96c6783b94d948559cdf008850dc6e31","","","Hodgdon Meadow Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,37.799449,-119.867088
"548","Acadia National Park","National Park","Acadia",39,"zzy-222@64w-2d2-cbk","sg:a6a83d632e2c4a1eb7297a025cce7a72","","","Kelley Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,44.280048,-68.382971
"549","Yosemite National Park","National Park","Yosemite",15,"zzy-223@5z7-rjv-w6k","sg:b2612e2a3b8e4b508047f70cff42fe79","zzy-222@5z7-rjv-w6k","sg:a4e646bdb0b8484d8af8eaf7b843ba2a","Wawona Stables","","","Other Amusement and Recreation Industries","All Other Amusement and Recreation Industries",713990,37.741196,-119.564428
"550","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rjw-tgk","sg:4fa76c33688846f68b6974f04ba915b6","","","Amtrak","SG_BRAND_8600ba93ae70c64076266f8c3f3aec18","Amtrak","Rail Transportation","Line-Haul Railroads",482111,37.738693,-119.573049
"551","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzw-222@8g9-hdp-pjv","sg:01f499530cbe46c6a83e409d6b2208c5","","","Kyker Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.777865,-83.210997
"552","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"zzw-222@63v-cqy-b8v","sg:6faa663301a94b9482be390e1245b2b8","zzz-222@63v-cns-cnq","sg:3916d65e7fa4422d86cc2703ab9c4797","Wilson Feed Mill","","","Lawn and Garden Equipment and Supplies Stores","Nursery, Garden Center, and Farm Supply Stores",444220,41.356437,-81.596341
"553","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rtb-s5z","sg:08b80446edbe41ff8a7b8e020c8f3e89","zzy-223@5z7-rtb-s5z","sg:4ca2bfab36b0428fa0ff69dfa86107c9","Big Trees Lodge Dining Room","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,37.536851,-119.655002
